timestamp,test-class,test-method,time,description,result
2021-06-07 12:06:50.063,acme.testing.AnonymousShoutTest,create,3442,"[1] recordIndex=7, author=Pepe Garcia, text=Be the change you want to see in the home, info=http://example.org",OK
2021-06-07 12:06:53.713,acme.testing.AnonymousShoutTest,create,3414,"[2] recordIndex=8, author=Julian Brandt, text=Be the change you want to see in the garden, info=http://example.org",OK
2021-06-07 12:06:57.342,acme.testing.AnonymousShoutTest,create,3444,"[3] recordIndex=9, author=Manuel Gavira, text=Be the change you want to see in the cinema, info=http://example.org",OK
2021-06-07 12:07:00.879,acme.testing.AnonymousShoutTest,create,3355,"[4] recordIndex=10, author=Juan Colete, text=The plain truth, info=null",OK
2021-06-07 12:07:04.452,acme.testing.AnonymousShoutTest,create,3393,"[5] recordIndex=11, author=Victor Royal, text=Go fit, info=null",OK
2021-06-07 12:07:06.067,acme.testing.AnonymousShoutTest,listShout,1434,"[1] recordIndex=6, moment=2021/05/21 05:00, author=Mark Kent, text=We live with the scars we choose",OK
2021-06-07 12:07:07.705,acme.testing.AnonymousShoutTest,listShout,1457,"[2] recordIndex=4, moment=2021/05/20 00:00, author=Patrick Foden, text=Who seeks shall find",OK
2021-06-07 12:07:09.307,acme.testing.AnonymousShoutTest,listShout,1419,"[3] recordIndex=5, moment=2021/05/21 00:00, author=Sarah Bent, text=A goal is a dream with a deadline",OK
2021-06-07 12:07:10.926,acme.testing.AnonymousShoutTest,listShout,1436,"[4] recordIndex=3, moment=2021/05/19 00:00, author=Chris Welbeck, text=Only do what your heart tells you!",OK
2021-06-07 12:07:13.136,acme.testing.AnonymousShoutTest,createNegative,2025,"[1] author=Juan Garcia, text=, info=http://example.org",OK
2021-06-07 12:07:15.349,acme.testing.AnonymousShoutTest,createNegative,2025,"[2] author=, text=Try it again. Fail again. Fail better, info=http://example.org",OK
2021-06-07 12:07:17.577,acme.testing.AnonymousShoutTest,createNegative,2011,"[3] author=Juan Colete, text=, info=http://example.org",OK
2021-06-07 12:07:19.819,acme.testing.AnonymousShoutTest,createNegative,2055,"[4] author=Juan Colete, text=sex, info=http://example.org",OK
2021-06-07 12:07:22.009,acme.testing.AnonymousShoutTest,createNegative,2008,"[5] author=sex, text=example, info=http://example.org",OK
2021-06-07 12:07:24.231,acme.testing.AnonymousShoutTest,createNegative,2031,"[6] author=Sad, text=Be the change you want to see in the home, info=http://example.org",OK
2021-06-07 12:07:26.452,acme.testing.AnonymousShoutTest,createNegative,2034,"[7] author=Pepe Garcia, text=Be the change you want to see in the home Be the change you want see in the home Be, info=link1",OK
