timestamp,test-class,test-method,time,description,result
2021-06-07 11:47:31.256,acme.testing.AnonymousShoutTest,create,6564,"[1] recordIndex=7, author=Pepe Garcia, text=Be the change you want to see in the home, info=http://example.org",OK
2021-06-07 11:48:06.375,acme.testing.AnonymousShoutTest,create,34737,"[2] recordIndex=8, author=Julian Brandt, text=Be the change you want to see in the garden, info=http://example.org",Cannot find 'By.id: list'
2021-06-07 11:48:11.613,acme.testing.AnonymousShoutTest,create,4845,"[3] recordIndex=9, author=Manuel Gavira, text=Be the change you want to see in the cinema, info=http://example.org",Record index 9 is out of range
2021-06-07 11:48:16.912,acme.testing.AnonymousShoutTest,create,4929,"[4] recordIndex=10, author=Juan Colete, text=The plain truth, info=null",Record index 10 is out of range
2021-06-07 11:48:23.097,acme.testing.AnonymousShoutTest,create,5348,"[5] recordIndex=11, author=Victor Royal, text=Go fit, info=null",Record index 11 is out of range
2021-06-07 11:48:25.0,acme.testing.AnonymousShoutTest,listShout,1558,"[1] recordIndex=6, moment=2021/05/21 05:00, author=Mark Kent, text=We live with the scars we choose",OK
2021-06-07 11:48:27.869,acme.testing.AnonymousShoutTest,listShout,2290,"[2] recordIndex=4, moment=2021/05/20 00:00, author=Patrick Foden, text=Who seeks shall find",OK
2021-06-07 11:48:29.738,acme.testing.AnonymousShoutTest,listShout,1583,"[3] recordIndex=5, moment=2021/05/21 00:00, author=Sarah Bent, text=A goal is a dream with a deadline",OK
2021-06-07 11:48:32.703,acme.testing.AnonymousShoutTest,listShout,2399,"[4] recordIndex=3, moment=2021/05/19 00:00, author=Chris Welbeck, text=Only do what your heart tells you!",OK
2021-06-07 11:48:36.578,acme.testing.AnonymousShoutTest,createNegative,3248,"[1] author=Juan Garcia, text=, info=http://example.org",OK
2021-06-07 11:48:39.073,acme.testing.AnonymousShoutTest,createNegative,2157,"[2] author=, text=Try it again. Fail again. Fail better, info=http://example.org",OK
2021-06-07 11:48:43.155,acme.testing.AnonymousShoutTest,createNegative,3425,"[3] author=Juan Colete, text=, info=http://example.org",OK
2021-06-07 11:48:45.826,acme.testing.AnonymousShoutTest,createNegative,2193,"[4] author=Juan Colete, text=sex, info=http://example.org",OK
2021-06-07 11:48:49.597,acme.testing.AnonymousShoutTest,createNegative,3266,"[5] author=sex, text=example, info=http://example.org",OK
2021-06-07 11:48:52.487,acme.testing.AnonymousShoutTest,createNegative,2356,"[6] author=Sad, text=Be the change you want to see in the home, info=http://example.org",OK
2021-06-07 11:48:56.265,acme.testing.AnonymousShoutTest,createNegative,3481,"[7] author=Pepe Garcia, text=Be the change you want to see in the home Be the change you want see in the home Be, info=link1",OK
2021-06-07 11:49:24.061,acme.testing.AuthenticatedTaskListTest,listPositive,8369,"[1] recordIndex=0, title=Life, description=Thus one can link two tasks, the spiritual and the physical, start=2021/10/15 02:00, end=2022/10/16 01:00, workload=100",Expected value '100' in input box 'workload', but '100' was found
2021-06-07 11:49:31.89,acme.testing.AuthenticatedTaskListTest,listPositive,7217,"[2] recordIndex=1, title=Political, description=Their appointment, roles and tasks should be clearly determined, start=2021/10/18 00:00, end=2022/10/21 04:00, workload=100",Expected value '100' in input box 'workload', but '100' was found
2021-06-07 11:49:40.033,acme.testing.AuthenticatedTaskListTest,listPositive,7853,"[3] recordIndex=2, title=Political, description=The free status relates to the tasks of local governments, start=2021/10/23 06:00, end=2022/10/24 10:00, workload=100",Expected value '100' in input box 'workload', but '100' was found
2021-06-07 11:49:48.561,acme.testing.AuthenticatedTaskListTest,listPositive,7199,"[4] recordIndex=3, title=Work, description=The free status relates to the tasks of local governments, start=2021/11/02 02:00, end=2022/11/03 04:00, workload=100",Expected value '100' in input box 'workload', but '100' was found
2021-06-07 11:49:56.939,acme.testing.AuthenticatedTaskListTest,listPositive,7759,"[5] recordIndex=4, title=Work, description=Each department has its own rules, daily tasks, milestones and goals, start=2021/11/05 09:00, end=2022/11/06 11:00, workload=100",Expected value '100' in input box 'workload', but '100' was found
2021-06-07 11:50:03.051,acme.testing.AuthenticatedTaskListTest,listPositive,5829,"[6] recordIndex=5, title=Political, description=Duties and tasks of the laboratories participating in the consortium, start=2021/11/13 03:00, end=2022/11/14 07:00, workload=100",Expected value '100' in input box 'workload', but '100' was found
2021-06-07 11:50:25.663,acme.testing.ConsumerUpdateTest,PcreateConsumer,7520,"[1] recordIndex=0, company=PepeMax, sector=primary, newCompany=ManolitoPiesDePlata, newSector=Secondary",OK
2021-06-07 11:50:39.942,acme.testing.AnonymousTaskTest,AnonymousTaskListPositive,1289,"[1] recordIndex=0, title=Notification, workload=25, description=When creating a task, you can send an SMS notification, start=2021/11/06 00:00, end=2022/11/13 05:00",Expected value '25' in attribute 1 of record 0, but found '25'
2021-06-07 11:50:42.349,acme.testing.AnonymousTaskTest,AnonymousTaskListPositive,1889,"[2] recordIndex=1, title=Work, workload=30, description=This facilitates the task when you work with many files, start=2021/08/08 01:00, end=2022/09/08 02:00",Expected value '30' in attribute 1 of record 1, but found '30'
2021-06-07 11:50:44.142,acme.testing.AnonymousTaskTest,AnonymousTaskListPositive,1294,"[3] recordIndex=2, title=Life, workload=35, description=This task connects directly with the quality of our spiritual life, start=2021/11/18 02:00, end=2022/11/22 04:00",Expected value '35' in attribute 1 of record 2, but found '35'
